4,2191787579,Tue Jun 16 05:58:18 PDT 2009,NO_QUERY,Daisierawe,Just Drawing Out My Room So I Can Decorate It! ,4,1
0,1469587360,Tue Apr 07 06:49:50 PDT 2009,NO_QUERY,Cari_tx,@TwilightilDawn no Little Ashes showing in TX ,0,0
4,2193007618,Tue Jun 16 07:52:03 PDT 2009,NO_QUERY,kalashnikitty,@slackmistress vote entered ,4,1
4,2191884094,Tue Jun 16 06:08:23 PDT 2009,NO_QUERY,FlexVector,@OhAngie I'm eating my whole wheat english muffin with natural peanut butter and everyone thinks I'm weird. ,4,1
0,1468619872,Tue Apr 07 02:46:24 PDT 2009,NO_QUERY,NikkolaD,"lol, i did that then i was silly and thoght kb was the same as k  so its still not working. i doubt i will ever find one",0,0
4,2191865404,Tue Jun 16 06:06:27 PDT 2009,NO_QUERY,LisaSullivan,"@DeirdreReid Yeah, I saw that.  Had to do a double-take but I saw it.   Thanks!  I might &quot;camp out&quot; at Cafe Helios after my 10:30 then.",4,1
0,1468157999,Tue Apr 07 00:01:55 PDT 2009,NO_QUERY,Brappie,Just did 5km on the tready and want to die... I'm not built for running... ,0,0
4,2192378742,Tue Jun 16 06:57:00 PDT 2009,NO_QUERY,Caitenosyke,@erinnnn_x OMGGGGGG  they are amazing  team ftsk all the way&lt;33  cant wait for some new jams.,4,1
4,2193551571,Tue Jun 16 08:36:42 PDT 2009,NO_QUERY,crside,@dfinchalicious  It ends up like that when good and bad collide ,4,1
4,2191699931,Tue Jun 16 05:48:19 PDT 2009,NO_QUERY,mara_sam,"June 15, 2009: First day of School. I totally had fun. Eep! ",4,1
0,1468433879,Tue Apr 07 01:38:34 PDT 2009,NO_QUERY,gelzie,@emperoremil yup. I'm at work. I'm on midshift na e. ,0,0
4,2192100737,Tue Jun 16 06:30:32 PDT 2009,NO_QUERY,PaulHarriott,@Bass_ Be very grateful if you'd turn me green ,4,1
0,1468291086,Tue Apr 07 00:46:59 PDT 2009,NO_QUERY,kronos_vano,The first serial about my city so stupid... ,0,0
4,2192604624,Tue Jun 16 07:17:00 PDT 2009,NO_QUERY,HelenaISN,http://twitpic.com/7jjcb - That could be one of my life mottoes ,4,1
0,1468671374,Tue Apr 07 03:04:35 PDT 2009,NO_QUERY,crazayh_random,Bored&amp;tired. Miss the stay-back time ,0,0
0,1469493777,Tue Apr 07 06:33:05 PDT 2009,NO_QUERY,amyeileen80,House was sad last night.  But Go Heels!,0,0
0,1469902850,Tue Apr 07 07:45:38 PDT 2009,NO_QUERY,loulabenba,"@ellylaine We didn't make it in the end  massive queues on the M25 then took wrong turn right near Wembley itself, gutted! x",0,0
0,1469057246,Tue Apr 07 05:01:36 PDT 2009,NO_QUERY,Katsujinken,@Redoilcan Sorry can't tonite I'm Ironing and Hoovering... Then Dusting ,0,0
0,1468045539,Mon Apr 06 23:25:38 PDT 2009,NO_QUERY,Poe4,"Coming down with a cold or bad allergies. Either way, I'm miserable! ",0,0
4,2192185660,Tue Jun 16 06:38:54 PDT 2009,NO_QUERY,GiGGLESx912,I got a 100% on my history final and a 90% on my French final ,4,1
4,2191666939,Tue Jun 16 05:44:26 PDT 2009,NO_QUERY,StorieDevereaux,Good Morning Good People .. BTW ... ,4,1
0,1468324862,Tue Apr 07 00:59:06 PDT 2009,NO_QUERY,xxLizzy,Naar Haddow. Racket mee! Wahey ,0,0
4,2192421573,Tue Jun 16 07:00:50 PDT 2009,NO_QUERY,wowpoetry,"Just finished taking my Gram to the Dr, and am now at Cracker Barrel, and then over to Walmart  i love time with Gram, always good fun",4,1
4,2191805575,Tue Jun 16 06:00:14 PDT 2009,NO_QUERY,NinaPicoli,Welcome to the twitter..!!! ,4,1
4,2192061110,Tue Jun 16 06:26:35 PDT 2009,NO_QUERY,BridgetteAlese,@9starbucks Have a great day as well! ,4,1
0,1470072239,Tue Apr 07 08:15:52 PDT 2009,NO_QUERY,dave_dash,@lmorchard sad   sorry to hear about your PomPom,0,0
4,2191982832,Tue Jun 16 06:18:37 PDT 2009,NO_QUERY,viselda,ALL-AMERICAN REJECTS AUGUST 21 ,4,1
0,1469189033,Tue Apr 07 05:32:31 PDT 2009,NO_QUERY,tazdog,@kdfw the girl in the suitcase story is just messed up..  Can't imagine anyone doing something like that...  ,0,0
4,2193503551,Tue Jun 16 08:32:48 PDT 2009,NO_QUERY,xspit,#iremember the last sunday ,4,1
0,1467987098,Mon Apr 06 23:07:57 PDT 2009,NO_QUERY,mynameissasha,@thestar_rage I want one too    is the branch in MidV open too?,0,0
0,1468598385,Tue Apr 07 02:38:34 PDT 2009,NO_QUERY,Mike_Laverick,dontcha just love microsoft corrupted open XML documents. ,0,0
0,1468771315,Tue Apr 07 03:38:55 PDT 2009,NO_QUERY,Tanithr,Has been swimming this morning to help with back ache only then we walked into town and it hurts again ,0,0
4,2192079704,Tue Jun 16 06:28:30 PDT 2009,NO_QUERY,steveyg971,@kjofficial have a great day at ascot. Hope its not windy for your hat!! I'm going to Ascot myself soon minus head attaire ,4,1
4,2193124185,Tue Jun 16 08:01:48 PDT 2009,NO_QUERY,WantonDecay,@Fink_Ployd The ThatchedHouse  www.thatched-live.co.uk/ looks like fun. xD  THX for following us ,4,1
4,2192164987,Tue Jun 16 06:36:51 PDT 2009,NO_QUERY,mario_prosp,@jdelorenzo did you have anything to do w/ Steph Curry's brother transfering to Duke? ,4,1
4,2193082186,Tue Jun 16 07:58:23 PDT 2009,NO_QUERY,Abbbbbbbyyyyyyy,Is cuddling with her bear ,4,1
4,2192957910,Tue Jun 16 07:47:48 PDT 2009,NO_QUERY,HollyLovesJonas,@rachmurrayX did you have a good time yesterday  .   i nearly fainted when joe got back on the stage and his t-shirt was ripped :L,4,1
0,1468304873,Tue Apr 07 00:51:47 PDT 2009,NO_QUERY,zbrass,@rodrigo very grey morning ,0,0
0,1469750227,Tue Apr 07 07:18:33 PDT 2009,NO_QUERY,hiwendee,"Standing between me &amp; spring break: 6 days, filing taxes (I owe  ), end of term and figuring out grades, dentist today...",0,0
